GEOid2,GEOdisplaylabel,hispanic_pop_perc
48029182002,"Census Tract 1820.02, Bexar County, Texas",30
48029182003,"Census Tract 1820.03, Bexar County, Texas",35
48029182101,"Census Tract 1821.01, Bexar County, Texas",15
48029182102,"Census Tract 1821.02, Bexar County, Texas",25
48029182103,"Census Tract 1821.03, Bexar County, Texas",28
48029182105,"Census Tract 1821.05, Bexar County, Texas",32
48029182106,"Census Tract 1821.06, Bexar County, Texas",32
48029190100,"Census Tract 1901, Bexar County, Texas",77
48029190200,"Census Tract 1902, Bexar County, Texas",53
48029190400,"Census Tract 1904, Bexar County, Texas",20
48029190501,"Census Tract 1905.01, Bexar County, Texas",82
48029190503,"Census Tract 1905.03, Bexar County, Texas",72
48029190504,"Census Tract 1905.04, Bexar County, Texas",80
48029190601,"Census Tract 1906.01, Bexar County, Texas",90
48029190603,"Census Tract 1906.03, Bexar County, Texas",86
48029190604,"Census Tract 1906.04, Bexar County, Texas",93
48029190700,"Census Tract 1907, Bexar County, Texas",64
48029190800,"Census Tract 1908, Bexar County, Texas",20
48029190901,"Census Tract 1909.01, Bexar County, Texas",60
48029190902,"Census Tract 1909.02, Bexar County, Texas",62
48029191003,"Census Tract 1910.03, Bexar County, Texas",73
48029191004,"Census Tract 1910.04, Bexar County, Texas",80
48029191005,"Census Tract 1910.05, Bexar County, Texas",84
48029191006,"Census Tract 1910.06, Bexar County, Texas",88
48029191101,"Census Tract 1911.01, Bexar County, Texas",29
48029191102,"Census Tract 1911.02, Bexar County, Texas",37
48029191201,"Census Tract 1912.01, Bexar County, Texas",39
48029191202,"Census Tract 1912.02, Bexar County, Texas",50
48029191303,"Census Tract 1913.03, Bexar County, Texas",36
48029191304,"Census Tract 1913.04, Bexar County, Texas",65
48029191405,"Census Tract 1914.05, Bexar County, Texas",32
48029191406,"Census Tract 1914.06, Bexar County, Texas",19
48029191408,"Census Tract 1914.08, Bexar County, Texas",50
48029191409,"Census Tract 1914.09, Bexar County, Texas",57
48029191410,"Census Tract 1914.10, Bexar County, Texas",49
48029191411,"Census Tract 1914.11, Bexar County, Texas",32
48029191412,"Census Tract 1914.12, Bexar County, Texas",20
48029191413,"Census Tract 1914.13, Bexar County, Texas",31
48029191503,"Census Tract 1915.03, Bexar County, Texas",28
48029191504,"Census Tract 1915.04, Bexar County, Texas",20
48029191505,"Census Tract 1915.05, Bexar County, Texas",25
48029191506,"Census Tract 1915.06, Bexar County, Texas",35
48029191701,"Census Tract 1917.01, Bexar County, Texas",18
48029191702,"Census Tract 1917.02, Bexar County, Texas",21
48029191804,"Census Tract 1918.04, Bexar County, Texas",25
48029191806,"Census Tract 1918.06, Bexar County, Texas",24
48029191807,"Census Tract 1918.07, Bexar County, Texas",33
48029191808,"Census Tract 1918.08, Bexar County, Texas",26
48029191809,"Census Tract 1918.09, Bexar County, Texas",24
